solving 1921 constrants, 13025 variables
I90,150153,76
solving 1094 constrants, 10000 variables
HB,25950,288
solving 1032 constrants, 1000 variables
U100,27207,305
solving 1921 constrants, 7709 variables
I100,97830,350
solving 3201 constrants, 5875 variables
I25,103462,388
solving 114 constrants, 1000 variables
U2,49203,389
solving 897 constrants, 3424 variables
I72,46385,406
solving 3201 constrants, 3209 variables
I5,80829,428
